‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       238	-0.00145731	-0.02239506	-0.00177943	0.00015329	
       239	-0.00016883	-0.02851532	0.00176389	-0.00016883	
       240	0.00659567	0.00498508	0.00369660	0.00047541	
       241	0.00047541	0.00047541	0.00595144	0.00079753	
       242	-0.00210154	-0.00693333	0.00627356	0.00466296	
       243	-0.00339002	-0.00435638	0.00788415	0.00466296	
       244	-0.01530843	0.01078323	0.01110534	0.00305236	
       245	-0.02046234	0.02109104	0.00917263	0.00047541	
       246	-0.01144300	0.01078323	0.00917263	-0.00274578	
       247	-0.00371214	0.00756203	0.00723991	0.00079753	
       248	-0.00177943	-0.00822181	0.00176389	-0.00210154	
       249	-0.00467850	-0.00435638	-0.00210154	0.00111965	
       250	-0.00306790	-0.00918817	-0.00467850	0.00208601	
       251	-0.00242366	-0.01885174	-0.00983241	-0.00145731	
       252	0.00401872	-0.02915956	-0.00918817	-0.00145731	
       253	-0.00242366	0.02237952	-0.00854393	0.00240812	
       254	0.00595144	0.00852839	-0.01079876	0.00015329	
       255	0.01078323	-0.00306790	-0.01079876	-0.00306790	
       256	0.00885051	-0.00467850	-0.00918817	-0.00113519	
       257	0.00659567	-0.00371214	-0.00789969	0.00111965	
       258	0.00176389	-0.01820751	-0.00403426	0.00562932	
       259	0.00015329	-0.03077016	-0.00242366	0.00337448	
       260	0.00981687	-0.01530843	0.00111965	0.00498508	
       261	0.00917263	0.00820627	0.00723991	0.00305236	
       262	0.01625925	0.00337448	0.00691779	0.00079753	
       263	0.02334588	0.00530720	0.01013899	-0.00661121	
       264	-0.00016883	0.04170667	0.01174958	-0.00661121	
       265	-0.01724115	0.01658137	0.00949475	-0.00177943	
       266	-0.02432777	-0.00081307	0.00788415	-0.00049095	
       267	-0.01079876	0.00917263	0.00562932	0.00337448	
       268	-0.01949598	0.01529289	0.00305236	0.00208601	
       269	-0.03141439	0.01013899	-0.00403426	-0.00371214	
       270	-0.01466419	0.00273024	-0.00371214	-0.00435638	
       271	-0.01530843	-0.00596698	-0.00822181	-0.00081307	
       272	0.00852839	-0.01788539	-0.00918817	-0.00081307	
       273	0.01336018	-0.00693333	-0.01144300	0.00176389	
       274	0.01078323	-0.00016883	-0.00467850	-0.00339002	
       275	0.00949475	-0.00403426	-0.01176512	-0.00339002	
       276	0.00659567	-0.00532274	-0.00918817	0.00176389	
       277	0.00659567	-0.00113519	-0.00564486	0.00240812	
       278	0.00273024	0.00176389	-0.00177943	0.00240812	
       279	-0.00274578	0.00111965	0.00015329	0.00273024	
       280	-0.00242366	-0.01047664	0.00273024	0.01239382	
       281	0.01303806	-0.01724115	0.00498508	0.01336018	
       282	0.02270164	-0.01434208	0.00885051	0.00852839	
       283	0.01110534	-0.01917386	0.01046111	0.00562932	
       284	0.00273024	-0.01820751	0.01142746	-0.00339002	
       285	-0.01144300	0.00723991	0.00788415	-0.00661121	
       286	-0.01563055	-0.00822181	0.00788415	-0.00628909	
       287	-0.00822181	-0.00532274	0.00273024	-0.00306790	
       288	0.01013899	0.02205740	0.00337448	-0.00467850	
       289	0.00820627	0.03945184	0.00144177	-0.00274578	
       290	-0.00081307	0.03268733	-0.00467850	0.00079753	
       291	0.00176389	-0.00016883	-0.00854393	0.00144177	
       292	-0.00016883	-0.00113519	-0.01047664	0.00595144	
       293	-0.00435638	-0.00016883	-0.01240936	0.00369660	
       294	-0.00918817	0.00337448	-0.01208724	0.00562932	
       295	-0.00596698	-0.00339002	-0.01112088	0.00401872	
       296	-0.00145731	-0.01627479	-0.00983241	-0.00210154	
       297	0.00144177	-0.02046234	-0.00854393	-0.00532274	
       298	0.00434084	-0.01788539	-0.00403426	-0.00467850	
       299	0.00337448	-0.01144300	-0.00016883	-0.00661121	
       300	-0.00145731	0.02721131	0.00498508	-0.00371214	
       301	0.00111965	0.01851409	0.00788415	-0.00371214	
       302	0.00111965	0.01497078	0.01046111	-0.00757757	
       303	0.00047541	0.00111965	0.01239382	-0.00467850	
       304	-0.00177943	-0.00210154	0.01013899	0.00240812	
       305	-0.00500062	-0.00403426	0.00788415	0.00723991	
       306	-0.00886605	-0.00500062	0.00466296	0.00466296	
       307	-0.00661121	-0.00757757	0.00337448	0.00111965	
       308	-0.01144300	-0.01434208	0.00047541	-0.00500062	
       309	-0.01756327	-0.01466419	-0.00306790	-0.00371214	
       310	-0.01273148	-0.00725545	-0.00532274	-0.00371214	
       311	0.01529289	-0.00500062	-0.00822181	-0.00049095	
       312	-0.00500062	0.01690349	-0.00983241	0.00337448	
       313	-0.00757757	0.03751912	-0.01176512	0.00401872	
       314	-0.00854393	0.01529289	-0.01079876	0.00273024	
       315	-0.00789969	0.01464866	-0.00822181	0.00498508	
       316	0.00562932	-0.01015453	-0.00564486	0.00401872	
       317	-0.00467850	-0.00661121	-0.00596698	0.00111965	
       318	-0.01273148	0.00079753	-0.00177943	0.00079753	
       319	-0.00725545	-0.00049095	0.00176389	-0.00177943	
       320	0.00111965	-0.01595267	0.00595144	-0.00564486	
       321	0.00530720	-0.02432777	0.00788415	-0.00564486	
       322	-0.00242366	-0.02271718	0.00981687	-0.00242366	
       323	0.00691779	-0.02239506	0.01013899	-0.00242366	
       324	0.01174958	0.02688919	0.01142746	-0.00177943	
       325	0.00498508	0.03236521	0.00723991	-0.00435638	
       326	0.00885051	0.00176389	0.00498508	-0.00274578	
       327	0.01754773	-0.00789969	0.00434084	-0.00210154	
       328	0.01432654	-0.02110658	0.00627356	-0.00500062	
       329	0.00917263	-0.01563055	-0.00210154	0.00015329	
       330	-0.00435638	0.00369660	-0.00403426	0.00047541	
       331	-0.01530843	0.03300945	-0.00693333	0.00369660	
       332	-0.01208724	0.00562932	-0.00951029	0.00434084	
       333	-0.00564486	-0.00500062	-0.00886605	0.00240812	
       334	-0.01144300	-0.00435638	-0.00886605	-0.00081307	
       335	-0.01595267	0.01142746	-0.00918817	-0.00242366	
